Queue : 1	first Name : hhh	second Name : ooo	vehical no : hj76	No of liters : 10
Queue : 1	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 1	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 1	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 1	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 1	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0

Queue : 2	first Name : llll	second Name : oo	vehical no : 78jh	No of liters : 18
Queue : 2	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 2	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 2	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 2	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 2	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0

Queue : 3	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 3	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 3	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 3	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 3	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 3	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0

Queue : 4	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 4	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 4	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 4	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 4	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 4	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0

Queue : 5	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 5	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 5	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 5	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 5	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0
Queue : 5	first Name : empty	second Name : empty	vehical no : empty	No of liters : 0

